census tract,income z-score,computers z-score,internet z-score,composite index value
53033000101,-1.327243226,0.323826406,-0.626550628,-0.543322483
53033000102,-0.99043796,-0.111552774,-1.561398738,-0.887796491
53033000201,-0.708975627,0.762479114,-1.329639736,-0.42537875
53033000202,-0.22962391,0.726470309,0.068726378,0.188524259
53033000300,-0.134414516,0.73956442,0.357774122,0.320974675
53033000402,-0.816356742,-0.632043674,-0.204697164,-0.551032527
53033000403,-1.735310081,-2.206610483,-2.714985682,-2.218968749
53033000404,-1.727211116,-1.591187281,-1.517130165,-1.611842854
53033000500,0.847422172,0.769026169,0.297881347,0.638109896
53033000601,-0.596427931,-0.762984781,-1.634311683,-0.997908131
53033000602,-0.366049592,-0.114826302,-0.230737501,-0.237204465
53033000700,-0.764132377,-1.231099237,-1.699412526,-1.231548047
53033000800,0.051582422,-0.343973239,0.347357987,0.01832239
53033000900,0.203507848,0.12086769,0.99836642,0.440913986
53033001000,0.094590722,0.788667335,1.14419231,0.675816789
53033001100,0.340073167,0.088132414,-0.186468928,0.080578884
53033001201,-1.64785056,-2.278628092,-2.261883812,-2.062787488
53033001202,-1.158049315,-0.415990848,-0.056267241,-0.543435801
53033001300,-0.773348441,-0.684420117,-1.13694124,-0.864903266
53033001400,-0.101134283,0.039029499,0.183303862,0.040399693
53033001500,0.904929483,0.012841277,0.170283694,0.362684818
53033001600,1.949789158,0.183064716,0.224968402,0.785940759
53033001701,-0.456650953,-0.006799889,0.196324031,-0.08904227
53033001702,-0.412711736,0.628264479,0.503600011,0.239717585
53033001800,-0.270816925,0.225620576,0.527036315,0.160613322
53033001900,0.237206993,0.510417483,0.797855823,0.5151601
53033002000,0.334185126,0.526785121,0.714526744,0.525165664
53033002100,0.430814166,1.001446634,0.77441952,0.735560106
53033002200,0.762243394,0.608623313,0.831708262,0.734191656
53033002400,0.948263605,0.330373461,0.704110609,0.660915892
53033002500,0.838252653,0.068491248,0.222364368,0.376369423
53033002600,1.189556929,0.723196782,-0.163032624,0.583240362
53033002700,1.181783784,0.602076258,0.399438662,0.727766235
53033002800,0.340259351,0.323826406,-0.902578204,-0.079497483
53033002900,0.520763886,0.703555616,0.521828247,0.58204925
53033003000,0.317777739,0.566067454,0.797855823,0.560567005
53033003100,1.201286466,0.395844015,0.409854797,0.668995093
53033003201,-0.169510035,-1.126346352,-0.681235337,-0.659030574
53033003202,0.773554019,-1.610828447,-0.933826609,-0.590367012
53033003301,0.228060747,0.307458768,0.407250763,0.314256759
53033003302,0.328715997,1.001446634,1.14419231,0.82478498
53033003400,0.589418912,-0.415990848,-0.035434971,0.045997698
53033003500,-0.011952568,-0.55347901,-0.092723713,-0.219385097
53033003601,-0.405217866,-0.239220353,-0.097931781,-0.247456667
53033003602,-0.583581295,0.719923254,0.920245409,0.352195789
53033003800,0.386712039,0.549699815,0.784835654,0.57374917
53033003900,1.103028324,0.886873165,0.82389616,0.93793255
53033004000,0.271674143,0.389296959,0.318713616,0.326561573
53033004101,3.164354747,1.001446634,1.14419231,1.769997897
53033004102,1.113408033,0.091405941,0.420270932,0.541694969
53033004201,1.480398237,0.399117542,0.665050103,0.848188627
53033004202,1.192116947,0.726470309,0.925453476,0.948013578
53033004301,-0.073090451,0.169970605,0.599949259,0.232276471
53033004302,-1.734448985,0.20597941,-0.405207761,-0.644559112
53033004401,0.122867284,1.001446634,-0.004186566,0.373375784
53033004402,-1.226611249,0.624990952,0.183303862,-0.139438812
53033004500,0.239557555,-0.952849385,-0.074495477,-0.262595769
53033004600,0.551274645,0.546426287,0.532244382,0.543315105
53033004701,-0.650909767,0.467861623,1.14419231,0.320381389
53033004702,-0.28245337,-0.979037607,-0.431248099,-0.564246359
53033004703,0.19498997,-0.206485077,0.82389616,0.270800351
53033004800,0.328762543,1.001446634,1.14419231,0.824800495
53033004901,-0.061896191,0.83777025,1.013990623,0.596621561
53033004902,-0.100924827,-2.245892815,-1.314015534,-1.220277725
53033005000,-0.096409887,0.314005823,0.584325057,0.267306998
53033005100,0.727147876,0.510417483,0.511412113,0.58299249
53033005201,-0.947220204,0.045576554,-0.199489096,-0.367044249
53033005202,-1.56402161,1.001446634,0.193719997,-0.12295166
53033005304,-2.1641829,-2.759836659,-2.550931557,-2.491650372
53033005305,-2.039091116,1.001446634,-0.183864894,-0.407169792
53033005306,-1.773407803,1.001446634,0.888997004,0.039011945
53033005307,-1.823421243,1.001446634,1.14419231,0.1074059
53033005401,0.281541849,0.314005823,0.415062864,0.336870179
53033005402,-0.189710903,1.001446634,0.704110609,0.505282113
53033005600,1.495595434,0.399117542,0.571304888,0.822005955
53033005700,0.972071771,-0.465093763,-0.022414803,0.161521069
53033005801,0.241070293,1.001446634,0.748379182,0.663632036
53033005803,0.403817613,0.300911712,0.378606392,0.361111906
53033005804,-0.7387882,0.808308501,0.990554319,0.353358207
53033005901,0.605151386,-0.209758604,0.180699829,0.19203087
53033005902,1.182132878,0.048850082,-0.251569771,0.326471063
53033006000,-0.171092591,0.5005969,0.873372801,0.400959037
53033006100,0.346077573,1.001446634,0.990554319,0.779359509
53033006200,2.367956448,-0.101732191,0.139035289,0.801753182
53033006300,0.581040672,0.471135151,0.839520363,0.630565395
53033006400,1.236568167,0.372929321,0.805667924,0.805055138
53033006500,0.174835648,0.867231999,0.881184903,0.641084183
53033006600,0.425717403,1.001446634,0.977534151,0.801566062
53033006701,0.915867742,-0.969217024,-0.423435997,-0.158928426
53033006702,0.004385,-0.039535165,0.735359014,0.233402949
53033006703,-0.247637127,1.001446634,1.14419231,0.632667272
53033006800,0.794313437,0.405664598,0.568700855,0.58955963
53033006900,0.840277395,0.572614509,0.803063891,0.738651931
53033007001,-1.302015413,0.019388333,0.308297481,-0.324776533
53033007002,-1.033795355,1.001446634,1.14419231,0.370614529
53033007101,-0.041322956,1.001446634,0.696298508,0.552140728
53033007102,-0.416109578,-1.024866994,-0.80883299,-0.749936521
53033007201,-0.109349614,0.26162938,0.016645703,0.05630849
53033007202,1.378462979,1.001446634,-0.02762287,0.784095581
53033007203,0.138855759,1.001446634,1.14419231,0.761498234
53033007301,-0.530658743,0.762479114,-0.241153636,-0.003111089
53033007302,0.440891327,-1.126346352,-0.649986932,-0.445147319
53033007303,0.210885354,0.55624687,0.961909948,0.576347391
53033007403,-0.669644443,0.572614509,0.790043722,0.231004596
53033007404,-0.377942038,0.490776317,0.737963047,0.283599109
53033007405,-0.879333183,-2.448851531,-2.754046188,-2.027410301
53033007406,-1.331967623,0.608623313,-0.28542221,-0.336255506
53033007501,-1.05276276,-1.56499906,-0.475516672,-1.031092831
53033007502,-0.294601819,0.10777358,-1.449425288,-0.545417842
53033007503,-1.150252897,0.549699815,-1.33224377,-0.644265617
53033007600,0.141252867,1.001446634,0.779627587,0.640775696
53033007700,0.297460506,0.202705882,0.508808079,0.336324822
53033007800,1.282927765,-0.203211549,0.514016146,0.531244121
53033007901,-1.036192462,0.356561683,0.222364368,-0.152422137
53033007902,-0.906702102,0.526785121,0.766607418,0.128896813
53033008002,-0.271561658,-2.481586807,-2.07178935,-1.608312605
53033008003,-0.137835631,-0.157382162,0.868164734,0.190982314
53033008004,1.537230635,1.001446634,0.891601037,1.143426102
53033008101,-0.610065844,-0.89065236,-1.498901929,-0.999873378
53033008102,-0.157873589,-3.146112925,-1.084860565,-1.462949026
53033008200,0.051582422,0.438399874,0.086954614,0.192312303
53033008300,-0.257667742,-1.928360631,-1.327035702,-1.171021359
53033008401,-0.917221448,-0.776078891,-0.186468928,-0.626589756
53033008402,-1.001771858,1.001446634,0.36298219,0.120885655
53033008500,-0.966141063,-1.948001797,-1.595251177,-1.503131346
53033008600,-1.103753662,1.001446634,-0.267193973,-0.123167001
53033008700,0.709763027,-0.101732191,-0.256777838,0.117084332
53033008800,0.687700327,-0.22939977,0.165075626,0.207792061
53033008900,0.09577764,0.356561683,0.110390918,0.187576747
53033009000,-1.144295037,-2.036387044,-1.272350994,-1.484344358
53033009100,-1.685296641,-4.187094724,-3.644625724,-3.172339029
53033009200,-1.795703231,-2.599433804,-3.483175633,-2.626104223
53033009300,-0.050236473,0.035755971,-0.45989247,-0.158124324
53033009400,-0.785357253,-0.769531836,-1.600459244,-1.051782778
53033009500,0.404445981,0.79521439,0.891601037,0.697087136
53033009600,0.67250313,-1.136166935,-0.566657853,-0.343440553
53033009701,-0.006599804,0.638085062,0.6494259,0.426970386
53033009702,0.731406815,0.778846752,0.967118016,0.825790527
53033009801,0.713416871,0.127414746,-0.636966763,0.067954951
53033009802,-0.015443502,0.222347048,0.524432281,0.243778609
53033009900,-0.636992578,0.78212028,0.131223188,0.092116963
53033010001,-1.226657795,-1.653384307,-1.912943292,-1.597661798
53033010002,-0.748143901,-0.972490551,-0.780188619,-0.833607691
53033010102,0.590512738,-0.206485077,0.183303862,0.189110508
53033010200,0.749769125,-0.167202745,-0.079703545,0.167620945
53033010301,-0.18114648,0.317279351,-0.574469954,-0.146112361
53033010302,-0.081352327,-0.111552774,-0.94163871,-0.37818127
53033010401,-0.185312327,-0.579667231,-0.881745934,-0.548908497
53033010402,-0.320667456,-0.213032132,-0.360939188,-0.298212925
53033010501,-0.24726476,-1.100158131,-0.639570797,-0.662331229
53033010502,-0.052703399,0.520238066,0.615573462,0.361036043
53033010601,0.607408856,-0.091911608,0.274445043,0.263314097
53033010602,-0.455301125,0.798487918,0.982742218,0.441976337
53033010701,-0.404845499,0.192885299,-0.548429616,-0.253463272
53033010702,-1.042639053,0.549699815,-0.189072961,-0.2273374
53033010800,-0.108418698,0.35983521,0.422874966,0.224763826
53033010900,-1.329617061,-1.198363961,-1.314015534,-1.280665518
53033011001,-1.541144359,-3.444003943,-3.490987734,-2.825378679
53033011002,-1.4339727,0.497323372,-1.126525105,-0.687724811
53033011101,-0.762968732,-1.096884603,-0.597906257,-0.819253198
53033011102,-0.011184563,-0.520743733,-1.306203433,-0.612710576
53033011200,-1.212484605,-0.962669968,-1.386928478,-1.187361017
53033011300,-0.672786283,-1.748316609,-2.423333904,-1.614812265
53033011401,-0.405148047,-0.330879128,-0.071891443,-0.269306206
53033011402,-0.8466115,0.012841277,-0.038039005,-0.290603076
53033011500,-0.333141725,0.572614509,0.566096821,0.268523202
53033011601,0.756029532,0.549699815,0.10518285,0.470304066
53033011602,0.065359972,0.183064716,0.493183876,0.247202855
53033011700,-0.72929286,0.693735033,-0.293234311,-0.10959738
53033011801,-0.421136522,1.001446634,0.136431255,0.238913789
53033011802,-1.091279393,-2.933333626,-1.889506989,-1.971373336
53033011901,0.45299323,1.001446634,0.03487394,0.496437934
53033011902,0.043832549,-0.782625947,0.297881347,-0.146970684
53033012000,0.002918808,0.54315276,0.675466238,0.407179269
53033012100,1.251602455,0.890146693,1.055655163,1.065801437
53033020100,-0.31764198,0.926155497,0.412458831,0.340324116
53033020200,-0.599616317,-0.965943496,-1.298391331,-0.954650381
53033020301,-1.12137124,-0.586214286,-0.118764051,-0.608783192
53033020302,-0.730968509,1.001446634,0.112994952,0.127824359
53033020401,-0.592168992,-0.383255571,-0.347919019,-0.441114527
53033020402,-0.431330048,0.539879232,0.115598985,0.074716056
53033020500,-0.195412761,-0.010073416,-0.215113299,-0.140199825
53033020600,0.361600591,-0.697514227,-0.207301198,-0.181071611
53033020700,-0.599127586,0.428579291,0.704110609,0.177854105
53033020800,0.513083833,-0.249040936,-1.608271346,-0.44807615
53033020900,-0.224783149,0.480955734,-0.170844725,0.02844262
53033021000,-0.2840592,-0.70733481,-0.204697164,-0.398697058
53033021100,-0.143165123,0.431852819,-1.087464599,-0.266258968
53033021300,-0.39397706,0.166697078,-0.139596321,-0.122292101
53033021400,0.875838371,-1.04450816,-0.618738527,-0.262469439
53033021500,1.069771364,0.693735033,0.67025817,0.811254856
53033021600,-0.040880771,1.001446634,1.14419231,0.701586057
53033021701,0.810860462,1.001446634,0.857748599,0.890018565
53033021702,-0.919339281,-2.841674851,-1.798365808,-1.853126647
53033021802,-0.013069667,0.435126347,0.849936498,0.423997726
53033021803,0.040597617,0.395844015,0.461935472,0.299459035
53033021804,-0.285036661,-0.376708516,-1.194229982,-0.618658386
53033021903,-0.688006753,-1.846522439,-0.801020889,-1.111850027
53033021904,0.36795409,0.5005969,0.524432281,0.464327757
53033021905,-0.217894373,-0.383255571,-0.228133467,-0.276427804
53033021906,0.279028377,-0.023167527,0.370794291,0.208885047
53033022001,0.101828591,-1.643563724,-0.623946595,-0.721893909
53033022003,0.179653136,0.575888037,0.599949259,0.451830144
53033022005,-0.634199831,0.634811535,0.990554319,0.330388674
53033022006,-0.072206081,0.769026169,0.607761361,0.434860483
53033022101,1.069771364,-0.052629276,0.240592604,0.419244897
53033022102,0.777743139,0.831223195,0.683278339,0.764081558
53033022201,-0.140861107,1.001446634,0.274445043,0.378343523
53033022203,0.514480206,0.985078995,1.14419231,0.881250504
53033022204,0.389318603,0.677367394,0.88639297,0.651026322
