,census tract,income z-score,computers z-score,internet z-score,composite index value
0,53033000101,-1.327243226,0.323826406,-0.626550628,107790650.60848
1,53033000102,-0.99043796,-0.111552774,-1.561398738,107790650.60841
2,53033000201,-0.708975627,0.762479114,-1.329639736,107790650.81245
3,53033000202,-0.22962391,0.726470309,0.068726378,107790650.81822
4,53033000300,-0.134414516,0.73956442,0.357774122,107790651.01822
5,53033000402,-0.816356742,-0.632043674,-0.204697164,107790651.22022
6,53033000403,-1.735310081,-2.206610483,-2.714985682,107790651.21208
7,53033000404,-1.727211116,-1.591187281,-1.517130165,107790651.21781
8,53033000500,0.847422172,0.769026169,0.297881347,107790651.42666
9,53033000601,-0.596427931,-0.762984781,-1.634311683,107790651.62196
10,53033000602,-0.366049592,-0.114826302,-0.230737501,107790651.62863
11,53033000700,-0.764132377,-1.231099237,-1.699412526,107790651.82176
12,53033000800,0.051582422,-0.343973239,0.347357987,107790652.03263
13,53033000900,0.203507848,0.12086769,0.99836642,107790652.23846
14,53033001000,0.094590722,0.788667335,1.14419231,107790652.44315
15,53033001100,0.340073167,0.088132414,-0.186468928,107790652.64277
16,53033001201,-1.64785056,-2.278628092,-2.261883812,107790652.83498
17,53033001202,-1.158049315,-0.415990848,-0.056267241,107790652.84628
18,53033001300,-0.773348441,-0.684420117,-1.13694124,107790653.04351
19,53033001400,-0.101134283,0.039029499,0.183303862,107790653.25228
20,53033001500,0.904929483,0.012841277,0.170283694,107790653.45750
21,53033001600,1.949789158,0.183064716,0.224968402,107790653.66333
22,53033001701,-0.456650953,-0.006799889,0.196324031,107790653.86328
23,53033001702,-0.412711736,0.628264479,0.503600011,107790653.86732
24,53033001800,-0.270816925,0.225620576,0.527036315,107790654.06602
25,53033001900,0.237206993,0.510417483,0.797855823,107790654.27143
26,53033002000,0.334185126,0.526785121,0.714526744,107790654.47475
27,53033002100,0.430814166,1.001446634,0.77441952,107790654.67928
28,53033002200,0.762243394,0.608623313,0.831708262,107790654.88253
29,53033002400,0.948263605,0.330373461,0.704110609,107790655.28858
30,53033002500,0.838252653,0.068491248,0.222364368,107790655.49010
31,53033002600,1.189556929,0.723196782,-0.163032624,107790655.69461
32,53033002700,1.181783784,0.602076258,0.399438662,107790655.89875
33,53033002800,0.340259351,0.323826406,-0.902578204,107790656.09708
34,53033002900,0.520763886,0.703555616,0.521828247,107790656.30436
35,53033003000,0.317777739,0.566067454,0.797855823,107790656.50748
36,53033003100,1.201286466,0.395844015,0.409854797,107790656.71140
37,53033003201,-0.169510035,-1.126346352,-0.681235337,107790656.90858
38,53033003202,0.773554019,-1.610828447,-0.933826609,107790656.91103
39,53033003301,0.228060747,0.307458768,0.407250763,107790657.11777
40,53033003302,0.328715997,1.001446634,1.14419231,107790657.12292
41,53033003400,0.589418912,-0.415990848,-0.035434971,107790657.31735
42,53033003500,-0.011952568,-0.55347901,-0.092723713,107790657.51899
43,53033003601,-0.405217866,-0.239220353,-0.097931781,107790657.72410
44,53033003602,-0.583581295,0.719923254,0.920245409,107790657.72979
45,53033003800,0.386712039,0.549699815,0.784835654,107790658.13358
46,53033003900,1.103028324,0.886873165,0.82389616,107790658.33905
47,53033004000,0.271674143,0.389296959,0.318713616,107790658.53858
48,53033004101,3.164354747,1.001446634,1.14419231,107790658.75266
49,53033004102,1.113408033,0.091405941,0.420270932,107790658.74721
50,53033004201,1.480398237,0.399117542,0.665050103,107790658.95029
51,53033004202,1.192116947,0.726470309,0.925453476,107790658.95294
52,53033004301,-0.073090451,0.169970605,0.599949259,107790659.14979
53,53033004302,-1.734448985,0.20597941,-0.405207761,107790659.14648
54,53033004401,0.122867284,1.001446634,-0.004186566,107790659.35390
55,53033004402,-1.226611249,0.624990952,0.183303862,107790659.35281
56,53033004500,0.239557555,-0.952849385,-0.074495477,107790659.55124
57,53033004600,0.551274645,0.546426287,0.532244382,107790659.75941
58,53033004701,-0.650909767,0.467861623,1.14419231,107790659.96334
59,53033004702,-0.28245337,-0.979037607,-0.431248099,107790659.95997
60,53033004703,0.19498997,-0.206485077,0.82389616,107790659.96710
61,53033004800,0.328762543,1.001446634,1.14419231,107790660.16763
62,53033004901,-0.061896191,0.83777025,1.013990623,107790660.37152
63,53033004902,-0.100924827,-2.245892815,-1.314015534,107790660.36248
64,53033005000,-0.096409887,0.314005823,0.584325057,107790660.57074
65,53033005100,0.727147876,0.510417483,0.511412113,107790660.77591
66,53033005201,-0.947220204,0.045576554,-0.199489096,107790660.97540
67,53033005202,-1.56402161,1.001446634,0.193719997,107790660.97893
68,53033005304,-2.1641829,-2.759836659,-2.550931557,107790661.17180
69,53033005305,-2.039091116,1.001446634,-0.183864894,107790661.18654
70,53033005306,-1.773407803,1.001446634,0.888997004,107790661.19129
71,53033005307,-1.823421243,1.001446634,1.14419231,107790661.19374
72,53033005401,0.281541849,0.314005823,0.415062864,107790661.38620
73,53033005402,-0.189710903,1.001446634,0.704110609,107790661.38926
74,53033005600,1.495595434,0.399117542,0.571304888,107790661.79363
75,53033005700,0.972071771,-0.465093763,-0.022414803,107790661.99285
76,53033005801,0.241070293,1.001446634,0.748379182,107790662.20120
77,53033005803,0.403817613,0.300911712,0.378606392,107790662.20342
78,53033005804,-0.7387882,0.808308501,0.990554319,107790662.20541
79,53033005901,0.605151386,-0.209758604,0.180699829,107790662.40158
80,53033005902,1.182132878,0.048850082,-0.251569771,107790662.40443
81,53033006000,-0.171092591,0.5005969,0.873372801,107790662.60407
82,53033006100,0.346077573,1.001446634,0.990554319,107790662.80963
83,53033006200,2.367956448,-0.101732191,0.139035289,107790663.01302
84,53033006300,0.581040672,0.471135151,0.839520363,107790663.21523
85,53033006400,1.236568167,0.372929321,0.805667924,107790663.41954
86,53033006500,0.174835648,0.867231999,0.881184903,107790663.62180
87,53033006600,0.425717403,1.001446634,0.977534151,107790663.82603
88,53033006701,0.915867742,-0.969217024,-0.423435997,107790664.02545
89,53033006702,0.004385,-0.039535165,0.735359014,107790664.02988
90,53033006703,-0.247637127,1.001446634,1.14419231,107790664.03435
91,53033006800,0.794313437,0.405664598,0.568700855,107790664.23124
92,53033006900,0.840277395,0.572614509,0.803063891,107790664.43540
93,53033007001,-1.302015413,0.019388333,0.308297481,107790664.63420
94,53033007002,-1.033795355,1.001446634,1.14419231,107790664.64047
95,53033007101,-0.041322956,1.001446634,0.696298508,107790664.84280
96,53033007102,-0.416109578,-1.024866994,-0.80883299,107790664.83689
97,53033007201,-0.109349614,0.26162938,0.016645703,107790665.04303
98,53033007202,1.378462979,1.001446634,-0.02762287,107790665.04950
99,53033007203,0.138855759,1.001446634,1.14419231,107790665.05139
100,53033007301,-0.530658743,0.762479114,-0.241153636,107790665.24592
