GEO_ID,GEO_NAME,HOUSEHOLDS_TOTAL,"HOUSEHOLDS_LESS_THAN_10,000","HOUSEHOLDS_10,000_TO_14,999","HOUSEHOLDS_15,000_TO_24,999"," HOUSEHOLDS_25,000_TO_34,999","HOUSEHOLDS_35,000_TO_49,999","HOUSEHOLDS_50,000_TO_74,999","HOUSEHOLDS_75,000_TO_99,999","HOUSEHOLDS_100,000_TO_149,999","HOUSEHOLDS_150,000_TO_199,999","HOUSEHOLDS_200,000_OR_MORE",HOUSEHOLDS_MEDIAN_INCOME,HOUSEHOLDS_MEAN_INCOME
1400000US53033000101,"Census Tract 1.01, King County, Washington",1691,5.6,3.1,7.5,10.8,14.3,22.1,8.6,20.6,3,4.4,57004,87517
1400000US53033000102,"Census Tract 1.02, King County, Washington",2146,7.2,6.6,9.1,9,6.8,13.7,15.8,7.6,8.2,16,71476,114210
1400000US53033000201,"Census Tract 2.01, King County, Washington",2326,3.7,2.1,8.3,2.1,12.6,14.6,18.2,19.9,6.5,11.7,83570,123999
1400000US53033000202,"Census Tract 2.02, King County, Washington",1550,6.8,5,1.9,0,5,21.7,7.5,23.9,16.8,11.3,104167,111515
1400000US53033000300,"Census Tract 3, King County, Washington",1127,0,1.9,1.3,3.2,9.9,12.9,9.5,34.1,13.8,13.5,108258,135337
1400000US53033000402,"Census Tract 4.02, King County, Washington",2546,2.1,1.6,5.2,3.8,9,21.2,17.3,14.8,6.8,18.2,78956,124458
1400000US53033000403,"Census Tract 4.03, King County, Washington",1714,10.6,12.4,9.4,12.1,8.3,12.7,9.3,9.8,4.2,11.3,39470,79707
1400000US53033000404,"Census Tract 4.04, King County, Washington",2310,5.2,10.5,9.7,20.5,16.1,15.3,9.2,12.5,0.3,0.8,39818,50035
1400000US53033000500,"Census Tract 5, King County, Washington",1263,4,0.8,0,3,5.1,8.4,6.8,21.6,16,34.2,150446,204538
1400000US53033000601,"Census Tract 6.01, King County, Washington",1799,1.2,0,1.1,7.1,5.3,14,28.4,14.5,13.2,15.2,88406,120533
1400000US53033000602,"Census Tract 6.02, King County, Washington",1497,0,2.7,3.3,1.7,7.9,21.5,16.2,17.7,8.7,20.3,98305,119660
1400000US53033000700,"Census Tract 7, King County, Washington",2345,3.5,2.7,8.6,5.6,9.6,17,12.2,16.6,12.5,11.6,81200,104163
1400000US53033000800,"Census Tract 8, King County, Washington",1144,0.8,0,2.1,2.4,9.2,8.3,22.9,16.3,11,27.1,116250,139660
