GeoID,phh_wointernet
53033000101,6.8
53033000102,10.39
53033000201,9.5
53033000202,4.13
53033000300,3.02
53033000402,5.18
53033000403,14.82
53033000404,10.22
53033000500,3.25
53033000601,10.67
53033000602,5.28
53033000700,10.92
53033000800,3.06
53033000900,0.56
53033001000,0
53033001100,5.11
53033001201,13.08
53033001202,4.61
53033001300,8.76
53033001400,3.69
53033001500,3.74
53033001600,3.53
53033001701,3.64
53033001702,2.46
53033001800,2.37
53033001900,1.33
53033002000,1.65
53033002100,1.42
53033002200,1.2
53033002400,1.69
53033002500,3.54
53033002600,5.02
53033002700,2.86
53033002800,7.86
53033002900,2.39
53033003000,1.33
53033003100,2.82
53033003201,7.01
53033003202,7.98
53033003301,2.83
53033003302,0
53033003400,4.53
53033003500,4.75
53033003601,4.77
53033003602,0.86
53033003800,1.38
53033003900,1.23
53033004000,3.17
53033004101,0
53033004102,2.78
53033004201,1.84
53033004202,0.84
53033004301,2.09
53033004302,5.95
53033004401,4.41
53033004402,3.69
53033004500,4.68
53033004600,2.35
53033004701,0
53033004702,6.05
53033004703,1.23
53033004800,0
53033004901,0.5
53033004902,9.44
53033005000,2.15
53033005100,2.43
53033005201,5.16
53033005202,3.65
53033005304,14.19
53033005305,5.1
53033005306,0.98
53033005307,0
53033005401,2.8
53033005402,1.69
53033005600,2.2
53033005700,4.48
53033005801,1.52
53033005803,2.94
53033005804,0.59
53033005901,3.7
53033005902,5.36
53033006000,1.04
53033006100,0.59
53033006200,3.86
53033006300,1.17
53033006400,1.3
53033006500,1.01
53033006600,0.64
53033006701,6.02
53033006702,1.57
53033006703,0
53033006800,2.21
53033006900,1.31
53033007001,3.21
53033007002,0
53033007101,1.72
53033007102,7.5
53033007201,4.33
53033007202,4.5
53033007203,0
53033007301,5.32
53033007302,6.89
53033007303,0.7
53033007403,1.36
53033007404,1.56
53033007405,14.97
53033007406,5.49
53033007501,6.22
53033007502,9.96
53033007503,9.51
53033007600,1.4
53033007700,2.44
53033007800,2.42
53033007901,3.54
53033007902,1.45
53033008002,12.35
53033008003,1.06
53033008004,0.97
53033008101,10.15
53033008102,8.56
53033008200,4.06
53033008300,9.49
53033008401,5.11
53033008402,3
53033008500,10.52
53033008600,5.42
53033008700,5.38
53033008800,3.76
53033008900,3.97
53033009000,9.28
53033009100,18.39
53033009200,17.77
53033009300,6.16
53033009400,10.54
53033009500,0.97
53033009600,6.57
53033009701,1.9
53033009702,0.68
53033009801,6.84
53033009802,2.38
53033009900,3.89
53033010001,11.74
53033010002,7.39
53033010102,3.69
53033010200,4.7
53033010301,6.6
53033010302,8.01
53033010401,7.78
53033010402,5.78
53033010501,6.85
53033010502,2.03
53033010601,3.34
53033010602,0.62
53033010701,6.5
53033010702,5.12
53033010800,2.77
53033010900,9.44
53033011001,17.8
53033011002,8.72
53033011101,6.69
53033011102,9.41
53033011200,9.72
53033011300,13.7
53033011401,4.67
53033011402,4.54
53033011500,2.22
53033011601,3.99
53033011602,2.5
53033011700,5.52
53033011801,3.87
53033011802,11.65
53033011901,4.26
53033011902,3.25
53033012000,1.8
53033012100,0.34
53033020100,2.81
53033020200,9.38
53033020301,4.85
53033020302,3.96
53033020401,5.73
53033020402,3.95
53033020500,5.22
53033020600,5.19
53033020700,1.69
53033020800,10.57
53033020900,5.05
53033021000,5.18
53033021100,8.57
53033021300,4.93
53033021400,6.77
53033021500,1.82
53033021600,0
53033021701,1.1
53033021702,11.3
53033021802,1.13
53033021803,2.62
53033021804,8.98
53033021903,7.47
53033021904,2.38
53033021905,5.27
53033021906,2.97
53033022001,6.79
53033022003,2.09
53033022005,0.59
53033022006,2.06
53033022101,3.47
53033022102,1.77
53033022201,3.34
53033022203,0
53033022204,0.99
53033022205,4.85
53033022300,2.35
53033022401,0.89
53033022402,2.05
53033022501,2.23
53033022502,3.6
53033022603,3.11
53033022604,2.9
53033022605,0.57
53033022606,5.41
53033022701,1.24
53033022702,5.74
53033022703,1.32
53033022802,1.04
53033022803,1.84
53033022804,0.93
53033022805,5.93
53033022901,0
53033022902,3.81
53033023000,3.6
53033023100,1.22
53033023201,11.74
53033023202,16.99
53033023300,4.22
53033023401,4.18
53033023403,0
53033023404,2.86
53033023500,3.21
53033023601,2.95
53033023603,2.11
53033023604,1.95
53033023701,0.94
53033023702,0
53033023801,1.52
53033023805,1.2
53033023806,1.79
53033023807,3.56
53033023808,0
53033023901,4.48
53033023902,0
53033024001,3.7
53033024002,0.75
53033024100,0.81
53033024200,3.13
53033024301,10.08
53033024302,2.46
53033024400,0.75
53033024500,0.47
53033024601,0.49
53033024602,2.44
53033024701,0
53033024703,2.02
53033024704,0
53033024800,1.35
53033024901,0.85
53033024902,0.75
53033024904,0
53033024905,0
53033025001,2.64
53033025005,2.95
53033025006,0.54
53033025007,0.94
53033025008,2.22
53033025101,3.26
53033025103,2.55
53033025104,2.74
53033025201,2.59
53033025202,10.11
53033025302,11.04
53033025303,0.14
53033025304,2.2
53033025401,12.09
53033025402,6.71
53033025500,8.29
53033025601,1.28
53033025602,1.84
53033025702,4.11
53033025703,4.77
53033025704,5.73
53033025803,5.66
53033025804,11.48
53033025805,4.82
53033025806,6.4
53033026001,7.17
53033026003,3.86
53033026004,5.97
53033026101,8.91
53033026102,7.89
53033026200,8.94
53033026300,7.92
53033026400,6.4
53033026500,13.15
53033026600,2
53033026700,3.13
53033026801,5.78
53033026802,2.45
53033027000,2.98
53033027100,15.72
53033027200,9.36
53033027300,0
53033027400,11.53
53033027500,6.34
53033027600,5.01
53033027701,10.39
53033027702,5.93
53033027800,2.67
53033027901,1.43
53033027902,3.98
53033028000,7.6
53033028100,11.48
53033028200,5.98
53033028300,5.85
53033028402,9.53
53033028403,14.12
53033028500,7.33
53033028600,6.53
53033028700,3.3
53033028801,14.68
53033028802,5.54
53033028901,5.37
53033028902,5.49
53033029001,3.83
53033029003,1.16
53033029004,8.21
53033029101,5.16
53033029102,6.41
53033029203,14.2
53033029205,8.09
53033029206,13.21
53033029207,0
53033029208,0
53033029304,1.83
53033029305,2.38
53033029306,4.82
53033029307,1.3
53033029308,9.25
53033029309,4.6
53033029403,1.14
53033029405,3.62
53033029406,2.27
53033029407,3.17
53033029408,6.54
53033029504,5.09
53033029505,1.05
53033029506,4.45
53033029507,2.44
53033029508,0
53033029602,4.4
53033029603,0
53033029604,1.35
53033029701,11.11
53033029702,8.66
53033029803,7.26
53033029804,0
53033029805,2.5
53033029806,3.86
53033029901,0.48
53033029902,1.92
53033030003,5.19
53033030005,6.67
53033030006,8.19
53033030007,3.92
53033030008,7.46
53033030101,10.11
53033030102,7.46
53033030201,4.67
53033030203,4.53
53033030204,18.73
53033030304,1.04
53033030305,6.62
53033030306,4.85
53033030308,4.78
53033030309,3.94
53033030310,3.28
53033030311,5.38
53033030312,7.32
53033030313,9.88
53033030314,8.06
53033030403,5.1
53033030404,2.2
53033030405,22.71
53033030406,10.92
53033030407,16.01
53033030501,14.47
53033030503,12.56
53033030504,9.81
53033030600,4.22
53033030700,9.69
53033030801,7.22
53033030802,12.93
53033030901,9.26
53033030902,8.31
53033031000,2.82
53033031101,6.13
53033031102,9.61
53033031202,5.72
53033031204,2.28
53033031206,4.76
53033031207,1.22
53033031208,3.48
53033031301,7.88
53033031302,7.49
53033031400,2.7
53033031501,5.41
53033031502,5.09
53033031601,3.28
53033031603,6.84
53033031604,1.33
53033031605,0.65
53033031704,4.08
53033031705,0.59
53033031707,2.1
53033031708,2.61
53033031709,1.24
53033031710,10.17
53033031800,1.86
53033031904,2.82
53033031906,1.23
53033031908,2.76
53033031909,0.8
53033031910,2.42
53033031911,0
53033031912,7.53
53033031913,3.31
53033032002,4.3
53033032003,1.88
53033032005,5.57
53033032006,2.24
53033032007,4.59
53033032008,1.13
53033032010,6.24
53033032011,0
53033032102,2.81
53033032103,2.26
53033032104,3.21
53033032207,1.03
53033032211,0
53033032213,0.44
53033032215,0
53033032216,0
