,census tract,income z-score,computers z-score,internet z-score,composite index value,,,,,,
0,53053060200,0.05444272,0.54197564,0.649331834,276318021.88149,,,,,,
1,53053060300,0.414160621,-0.572303811,-0.392729323,276318022.39296,,,,,,
2,53053060400,1.577298377,-0.108293013,0.191309605,276318022.92531,,,,,,
3,53053060500,2.552190588,1.136693705,1.058886103,276318023.46223,,,,,,
4,53053060600,0.186974512,-0.006994881,0.477270573,276318023.96176,,,,,,
5,53053060700,1.14308548,-0.529823949,-0.184317092,276318024.48140,,,,,,
6,53053060800,0.821048186,-1.108203605,0.089526887,276318024.99897,,,,,,
7,53053060903,-0.258499255,-0.791238483,-0.324874178,276318025.52930,,,,,,
8,53053060904,-0.07741972,-0.761829348,0.019248344,276318025.53740,,,,,,
9,53053060906,-0.187547891,-2.01661911,-1.463871257,276318025.53298,,,,,,
10,53053060907,-1.277017499,-3.258338146,-1.206991064,276318025.52738,,,,,,
11,53053060908,1.540287121,-1.2160371,0.516044942,276318025.56688,,,,,,
12,53053061001,-0.019934154,-0.758561666,-0.23520845,276318026.04160,,,,,,
13,53053061002,-1.454395909,-3.075347972,-2.348411541,276318026.01626,,,,,,
14,53053061100,-0.371304836,-0.546162357,-0.596294758,276318026.55462,,,,,,
15,53053061200,-0.390282948,-2.686493853,-1.50991582,276318027.05944,,,,,,
16,53053061300,-0.750079597,0.182530656,-0.09949816,276318027.60069,,,,,,
17,53053061400,-2.04901716,-0.866395161,-2.663453287,276318028.09594,,,,,,
18,53053061501,-1.184331867,-3.055741882,-2.731308432,276318028.61473,,,,,,
19,53053061502,-0.940530066,0.421071418,0.02409514,276318028.65367,,,,,,
20,53053061601,-2.237262703,-3.444596001,-2.474428239,276318029.12939,,,,,,
21,53053061602,-1.403092009,0.238081244,-0.261865829,276318029.16965,,,,,,
22,53053061700,-0.62467444,-0.614783672,-1.15125291,276318029.67505,,,,,,
23,53053061800,-0.694011483,-0.170378965,-2.290249988,276318030.19190,,,,,,
24,53053061900,-1.12267269,-0.892536615,-1.265152617,276318030.71208,,,,,,
25,53053062000,-1.253472041,0.136783113,-0.69323068,276318031.24057,,,,,,
26,53053062300,-0.503679134,0.002808164,0.094373683,276318032.81038,,,,,,
27,53053062400,-0.85197867,-2.0362252,-1.335431161,276318033.31134,,,,,,
28,53053062501,-0.488008411,-0.056010106,0.329443293,276318033.85826,,,,,,
29,53053062502,-0.803982159,0.989648029,1.034652123,276318033.87094,,,,,,
30,53053062600,-1.250715884,-0.53309163,-1.371782131,276318034.35856,,,,,,
31,53053062801,-1.795962546,-0.836986026,-0.496935439,276318035.40557,,,,,,
32,53053062802,-0.639990799,0.372056193,-0.213397868,276318035.42458,,,,,,
33,53053062901,-1.298476153,0.081232524,0.14768844,276318035.93714,,,,,,
34,53053062902,-0.526594613,0.336111695,0.501504554,276318035.94954,,,,,,
35,53053063000,-0.569000062,1.241259518,1.289108917,276318036.46855,,,,,,
36,53053063100,-0.391464158,-0.794506164,0.17192242,276318036.97389,,,,,,
37,53053063200,-0.433200254,-0.627854399,0.428802613,276318037.49671,,,,,,
38,53053063301,-0.793863124,-0.252071007,0.29551572,276318038.02213,,,,,,
39,53053063302,-0.614122294,-0.085419241,0.41910902,276318038.02979,,,,,,
40,53053063401,-1.68492878,-1.582017448,-2.266016008,276318038.51806,,,,,,
41,53053063402,-1.131846757,1.28373938,1.13643484,276318038.55879,,,,,,
42,53053063501,-0.966831682,-0.124631421,-0.894372717,276318039.05737,,,,,,
43,53053063502,-1.276899378,-0.954622566,-0.797436796,276318039.05714,,,,,,
44,53053070100,0.671900703,1.139961386,0.288245526,276318073.44844,,,,,,
45,53053070204,0.467157589,-0.203055781,0.331866691,276318073.98227,,,,,,
46,53053070205,0.111849539,1.113819933,0.608134068,276318073.99393,,,,,,
47,53053070206,0.94716207,0.711895087,-0.366071945,276318073.99632,,,,,,
48,53053070207,1.298217763,-0.114828376,-2.110918533,276318073.98996,,,,,,
49,53053070208,1.548909956,1.28373938,1.434512799,276318074.02222,,,,,,
50,53053070209,0.167838906,0.492960415,0.811699503,276318074.01288,,,,,,
51,53053070307,1.183207256,0.643273772,-1.216684657,276318074.51880,,,,,,
52,53053070308,0.149490773,0.228278199,0.268858342,276318074.52420,,,,,,
53,53053070309,0.864319856,-0.850056753,0.019248344,276318074.52622,,,,,,
54,53053070310,0.713833667,1.104016888,1.010418142,276318074.54598,,,,,,
55,53053070311,1.003151437,0.773981039,0.797159115,276318074.54987,,,,,,
56,53053070312,1.934653858,1.130158341,0.588746883,276318074.56070,,,,,,
57,53053070313,0.904441632,0.532172595,0.397298438,276318074.55643,,,,,,
58,53053070314,1.330071067,0.983112666,1.078273287,276318074.56975,,,,,,
59,53053070315,2.101480122,1.198779656,0.998301152,276318074.57968,,,,,,
60,53053070316,1.254316114,1.28373938,0.363370866,276318074.57761,,,,,,
61,53053070401,0.17902103,0.636738409,0.217966983,276318075.01059,,,,,,
62,53053070403,0.38789838,0.865476126,0.581476689,276318075.02518,,,,,,
63,53053070404,0.760688342,0.110641659,0.738997562,276318075.02922,,,,,,
64,53053070703,-0.162427486,0.352450103,-0.441197284,276318076.57682,,,,,,
65,53053071100,-0.186917913,-1.497057724,-1.39843951,276318078.62978,,,,,,
66,53053071205,0.952398769,-0.281480142,0.288245526,276318079.19770,,,,,,
67,53053071206,0.281077597,-0.127899103,0.387604846,276318079.20073,,,,,,
68,53053071207,-1.220870638,-1.614694264,-1.800723584,276318079.17898,,,,,,
69,53053071209,1.540090253,0.839334672,1.192172995,276318079.23214,,,,,,
70,53053071210,1.869057314,0.146586158,0.64206164,276318079.23259,,,,,,
71,53053071211,-0.987542235,-0.781435438,0.053175916,276318079.21502,,,,,,
72,53053071212,-0.474030756,1.28373938,1.434512799,276318079.24086,,,,,,
73,53053071304,-0.600420255,0.042020344,0.217966983,276318079.70656,,,,,,
74,53053071305,-0.236213755,1.097481525,0.440919603,276318079.72032,,,,,,
75,53053071306,0.137088065,0.473354325,0.695376397,276318079.72555,,,,,,
76,53053071307,0.886999093,1.10728457,1.303649305,276318079.74114,,,,,,
77,53053071309,0.200243441,0.773981039,0.593593679,276318079.74254,,,,,,
78,53053071310,1.493274952,1.28373938,1.165515617,276318079.76012,,,,,,
79,53053071403,-0.541438489,0.486425052,0.438496205,276318080.22596,,,,,,
80,53053071408,-0.441862463,0.666147544,-0.397576119,276318080.24910,,,,,,
81,53053071409,-1.114876703,-0.451399589,-0.327297576,276318080.24535,,,,,,
82,53053071411,-0.040408465,-0.37624291,-0.150389519,276318080.26267,,,,,,
83,53053071412,0.450108787,1.28373938,1.209136782,276318080.28616,,,,,,
84,53053071413,2.130341026,1.28373938,1.434512799,276318080.30129,,,,,,
85,53053071414,0.246153147,1.28373938,1.434512799,276318080.29669,,,,,,
86,53053071415,-0.451509014,1.28373938,0.397298438,276318080.29286,,,,,,
87,53053071416,-1.099717837,0.332844013,-1.359665141,276318080.28059,,,,,,
88,53053071417,0.851129675,0.479889688,0.838356881,276318080.30817,,,,,,
89,53053071503,-0.936080841,-1.611426583,-0.833787766,276318080.72718,,,,,,
90,53053071504,-1.186812408,0.917759032,-0.196434082,276318080.74758,,,,,,
91,53053071505,-0.045960153,-0.23900028,-0.072840782,276318080.75334,,,,,,
92,53053071506,-0.336734749,0.574652457,0.799582513,276318080.76582,,,,,,
93,53053071601,-1.105781383,-0.490611769,-1.412979898,276318081.23953,,,,,,
94,53053071603,-1.16251885,-1.947997795,-1.354818345,276318081.24237,,,,,,
95,53053071604,-0.769215203,0.126980068,0.375487856,276318081.26944,,,,,,
96,53053071703,-1.170275464,-0.500414814,-1.080974366,276318081.77213,,,,,,
97,53053071704,-1.593266863,0.881814534,0.193733003,276318081.78897,,,,,,
98,53053071705,-1.005024147,0.372056193,-0.407269711,276318081.79146,,,,,,
99,53053071706,-1.469121663,-1.046117653,0.121031061,276318081.78961,,,,,,
100,53053071707,-1.145430675,-1.307532187,-0.710194466,276318081.79082,,,,,,
101,53053071803,-1.121530854,-1.395759592,-0.409693109,276318082.29205,,,,,,
102,53053071805,-1.523063599,-0.742223258,-0.889525921,276318082.30128,,,,,,
103,53053071806,-1.807302164,-1.572214403,-1.946127467,276318082.29518,,,,,,
104,53053071807,-1.365490149,-0.006994881,-0.385459129,276318082.31897,,,,,,
105,53053071808,-1.617206058,-1.17682492,-1.316043976,276318082.31193,,,,,,
106,53053071901,-0.677120176,-2.722438352,-2.161809892,276318082.78874,,,,,,
107,53053071902,0.165161496,-0.575571492,-1.68197708,276318082.81202,,,,,,
108,53053072000,-1.512235838,0.558314048,-0.421810099,276318083.32617,,,,,,
109,53053072105,0.322892441,0.450480553,0.537855524,276318083.88704,,,,,,
110,53053072106,-1.302492268,-0.631122081,-1.017966017,276318083.87004,,,,,,
111,53053072107,0.155711814,-0.216126508,0.201003197,276318083.89136,,,,,,
112,53053072108,-0.270114489,-0.157308238,0.564512903,276318083.89655,,,,,,
113,53053072109,-0.054897978,0.120444704,0.278551934,276318083.90283,,,,,,
114,53053072111,0.928026463,0.411268373,0.903788628,276318083.92314,,,,,,
115,53053072112,-0.056118562,-0.487344087,-0.08738117,276318083.91338,,,,,,
116,53053072305,0.065034238,-0.000459518,-0.242478645,276318084.92095,,,,,,
117,53053072307,-0.381896355,0.064894116,0.53058533,276318084.93340,,,,,,
118,53053072309,0.838057614,0.885082216,0.97649057,276318084.95677,,,,,,
119,53053072310,-0.720746208,-1.033046927,-0.08738117,276318084.93833,,,,,,
120,53053072311,-0.913559098,-0.555965402,-0.22309146,276318084.94431,,,,,,
121,53053072312,-0.17585391,0.300167196,-0.336991168,276318084.95723,,,,,,
122,53053072313,1.018270928,0.319773286,0.622674456,276318084.97375,,,,,,
123,53053072314,-0.062812087,-1.238910872,0.152535236,276318084.96276,,,,,,
124,53053072315,0.392780715,0.898152942,1.434512799,276318084.98815,,,,,,
125,53053072405,2.332761093,0.4243391,1.21156018,276318085.46338,,,,,,
126,53053072406,1.872089087,0.907955987,1.146128432,276318085.46837,,,,,,
127,53053072407,0.278990792,0.551778685,0.140418246,276318085.45818,,,,,,
128,53053072408,0.653080086,0.764177994,1.155822025,276318085.47173,,,,,,
129,53053072409,1.504142087,0.947168168,1.184902801,276318085.48248,,,,,,
130,53053072410,2.086596872,0.450480553,0.409415428,276318085.48410,,,,,,
131,53053072503,0.737300378,-0.392581319,-0.043760005,276318085.95469,,,,,,
132,53053072504,1.962018562,0.470086643,0.831086687,276318085.97533,,,,,,
133,53053072506,1.154858209,0.894885261,0.811699503,276318085.98365,,,,,,
134,53053072507,-0.072734253,-0.281480142,0.491810962,276318085.97467,,,,,,
135,53053072508,0.910032694,1.077875434,0.746267756,276318085.99341,,,,,,
136,53053072509,0.990669982,1.28373938,1.434512799,276318086.00369,,,,,,
137,53053072601,1.281641445,0.924294396,1.233370762,276318086.48145,,,,,,
