GEO_ID,GEO_NAME,TOTAL_POP_18_TO_24,POP_18_TO_24_LESS_THAN_HS_GRAD,POP_18_TO_24_HS_GRAD,POP_18_TO_24_SOME_COLLEGE_OR_ASSOC_DEG,POP_18_TO_24_BACH_DEG,TOTAL_POP_25_AND_OVER,POP_25_AND_OVER_LESS_THAN_9_GRADE,POP_25_AND_OVER_LESS_THAN_9_TO_12_NO_DIP,POP_25_AND_OVER_HS_GRAD,POP_25_AND_OVER_SOME_COLLEGE,POP_25_AND_OVER_ASSOC_DEG,POP_25_AND_OVER_BACH_DEG, POP_25_AND_OVER_GRAD_OR_PROF_DEG,POP_25_AND_OVER_HS_GRAD_OR_HIGHER,POP_25_AND_OVER_BACH_DEG_OR_HIGHER,TOTAL_POP_25_TO_34,POP_25_TO_34_HS_GRAD_OR_HIGHER,POP_25_TO_34_BACH_OR_HIGHER,TOTAL_POP_35_TO_44,POP_35_TO_44_HS_OR_HIGHER,POP_35_TO_44_BACH_OR_HIGHER,TOTAL_POP_45_TO_64,POP_45_TO_64_HS_OR_HIGHER,POP_45_TO_64_BACH_OR_HIGHER,TOTAL_POP_65_AND_OVER,POP_65_AND_OVER_HS_OR_HIGHER,POP_65_AND_OVER_BACH_OR_HIGHER,ALL_LESS_THAN_HS_GRAD,ALL_HS_GRAD,ALL_HS_HIGHER,ALL_BACH_HIGHER
53053060200,"Census Tract 602, Pierce County, Washington",217,47,59,61,50,1673,217,141,152,497,118,290,258,1315,548,638,449,186,427,310,71,413,361,211,195,195,80,405,211,2800,1146
53053060300,"Census Tract 603, Pierce County, Washington",133,27,61,39,6,3896,24,33,787,758,418,1124,752,3839,1876,675,663,411,543,533,342,1399,1388,598,1279,1255,525,84,848,7784,3758
53053060400,"Census Tract 604, Pierce County, Washington",131,45,71,15,0,3210,8,56,458,619,347,924,798,3146,1722,267,267,88,632,624,394,1474,1442,855,837,813,385,109,529,6378,3444
53053060500,"Census Tract 605, Pierce County, Washington",516,9,129,291,87,2772,0,36,242,538,217,804,935,2736,1739,287,287,131,589,573,333,1211,1199,838,685,677,437,45,371,5979,3565
53053060600,"Census Tract 606, Pierce County, Washington",617,35,131,365,86,4226,0,0,720,789,302,1229,1186,4226,2415,1291,1291,710,967,967,497,1201,1201,828,767,767,380,35,851,9034,4916
53053060700,"Census Tract 607, Pierce County, Washington",1415,51,357,948,59,3959,70,36,477,680,204,1707,785,3853,2492,1357,1342,1057,957,936,620,1084,1014,652,561,561,163,157,834,9070,5043
53053060800,"Census Tract 608, Pierce County, Washington",234,38,19,98,79,4046,12,17,361,1025,383,1126,1122,4017,2248,726,726,517,901,872,619,1417,1417,777,1002,1002,335,67,380,8230,4575
53053060903,"Census Tract 609.03, Pierce County, Washington",173,10,46,82,35,2551,131,65,559,602,268,517,409,2355,926,476,448,151,355,355,157,792,767,295,928,785,323,206,605,4873,1887
53053060904,"Census Tract 609.04, Pierce County, Washington",280,0,66,170,44,3774,58,312,740,1261,364,663,376,3404,1039,905,823,448,830,785,259,1442,1284,215,597,512,117,370,806,7088,2122
53053060906,"Census Tract 609.06, Pierce County, Washington",147,59,37,38,13,1483,39,95,376,367,131,337,138,1349,475,221,186,52,246,228,75,539,510,191,477,425,157,193,413,2786,963
53053060907,"Census Tract 609.07, Pierce County, Washington",352,0,91,159,102,2824,24,37,649,679,484,656,295,2763,951,750,734,170,311,311,104,625,610,184,1138,1108,493,61,740,5878,2004
53053060908,"Census Tract 609.08, Pierce County, Washington",170,45,0,112,13,2532,16,238,545,400,274,617,442,2278,1059,256,212,189,559,395,110,1011,998,344,706,673,416,299,545,4681,2131
