STATEFP,COUNTYFP,COUNTYNAME,TRACTCE,GEOID20,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,ALANDMI,AWATERMI,INTPTLAT,INTPTLON,XCOORD,YCOORD,COUNTYFPS,Pierce_2021_Income_Level2_GEO_NAME,Pierce_2021_Income_Level2_HOUSEHOLDS_TOTAL,"Pierce_2021_Income_Level2_HOUSEHOLDS_PERCENTAGE_LESS_THAN_10,000","Pierce_2021_Income_Level2_HOUSEHOLDS_PERCENTAGE_10,000_TO_14,999","Pierce_2021_Income_Level2_HOUSEHOLDS_PERCENTAGE_15,000_TO_24,999","Pierce_2021_Income_Level2_HOUSEHOLDS_PERCENTAGE_25,000_TO_34,999","Pierce_2021_Income_Level2_HOUSEHOLDS_PERCENTAGE_35,000_TO_49,999","Pierce_2021_Income_Level2_HOUSEHOLDS_PERCENTAGE_50,000_TO_74,999","Pierce_2021_Income_Level2_HOUSEHOLDS_PERCENTAGE_75,000_TO_99,999","Pierce_2021_Income_Level2_HOUSEHOLDS_PERCENTAGE_100,000_TO_149,999","Pierce_2021_Income_Level2_HOUSEHOLDS_PERCENTAGE_150,000_TO_199,999","Pierce_2021_Income_Level2_HOUSEHOLDS_PERCENTAGE_200,000_OR_MORE",Pierce_2021_Income_Level2_HOUSEHOLDS_MEDIAN_INCOME,Pierce_2021_Income_Level2_HOUSEHOLDS_MEAN_INCOME
53,1,Adams,950100,53001950100,9501,Census Tract,G5020,S,1615246453,7701924,623.65017,2.97373,47.1505125,-118.3983272,2164852.542,671104.0747,53001,,,,,,,,,,,,,,
53,1,Adams,950200,53001950200,9502,Census Tract,G5020,S,2629354892,2148452,1015.19964,0.82952,46.9252695,-118.5092655,2138151.205,585491.9841,53001,,,,,,,,,,,,,,
53,1,Adams,950301,53001950301,9503.01,Census Tract,G5020,S,431966557,0,166.78323,0,46.8278007,-119.010979,2013109.161,548501.2825,53001,,,,,,,,,,,,,,
53,1,Adams,950302,53001950302,9503.02,Census Tract,G5020,S,174575090,2213558,67.40382,0.85466,46.8550925,-119.2881592,1949302.088,560372.0298,53001,,,,,,,,,,,,,,
53,1,Adams,950303,53001950303,9503.03,Census Tract,G5020,S,118609926,400491,45.79555,0.15463,46.7711697,-119.2691812,1947509.236,527925.8249,53001,,,,,,,,,,,,,,
53,1,Adams,950400,53001950400,9504,Census Tract,G5020,S,3559985,0,1.37452,0,46.8324186,-119.1669461,1974047.008,549486.6926,53001,,,,,,,,,,,,,,
53,1,Adams,950500,53001950500,9505,Census Tract,G5020,S,12385953,0,4.78224,0,46.8105682,-119.1599135,1975942.305,541548.9947,53001,,,,,,,,,,,,,,
53,3,Asotin,960100,53003960100,9601,Census Tract,G5020,S,1340245353,8187333,517.47165,3.16115,46.1474746,-117.1964025,2478877.534,316229.0931,53003,,,,,,,,,,,,,,
53,3,Asotin,960200,53003960200,9602,Census Tract,G5020,S,294305193,2158770,113.63188,0.83351,46.3442652,-117.3012796,2456469.129,391335.8827,53003,,,,,,,,,,,,,,
53,3,Asotin,960300,53003960300,9603,Census Tract,G5020,S,3886925,646772,1.50075,0.24972,46.4190278,-117.0501391,2510151.423,414911.964,53003,,,,,,,,,,,,,,
53,3,Asotin,960400,53003960400,9604,Census Tract,G5020,S,1586747,0,0.61265,0,46.4127102,-117.0673121,2505962.03,412445.8008,53003,,,,,,,,,,,,,,
53,3,Asotin,960500,53003960500,9605,Census Tract,G5020,S,1875146,0,0.724,0,46.4064931,-117.0497719,2510481.095,410373.7666,53003,,,,,,,,,,,,,,
