Year,ESD,District,School,K-12 Total Enrollment,Do teacher librarians have a role in supporting technology integration in your building?,"Number of Classrooms (including portables used as classrooms, labs, and library)",Number of classrooms with wired or wireless  Internet access,Does this building have a Wide-Area Network (WAN) link to your district office ?,Less than 10 MB,10-99 MB,100-999 MB,1 GB or higher,Does your building provide wireless access to the Internet?,One classroom or meeting room only?,"More than one classroom or meeting room, but not building-wide?",Central areas throughout building (but not one WAP/classroom)?,The entire building?,Number of assistive/adaptive technology devices for dedicated use by students with an IEP or 504 :,Number of Students with School-(or District) Provided E-mail Accounts,"Do you have one or more grades in your school that have a one-to-one initiative (e.g., laptops, tablets, netbooks)?","If yes, please describe:","If yes, are students allowed to take devices home?", List other district-owned wireless handheld devices that you make available for instructional use:,Number of Instructional Laptops,Number of Instructional Desktops,Number of Instructional Netbooks,Number of Instructional Tablets,Number of Instructional Thin Clients,Number of Windows XP OS,Number of Windows 7 OS,Number of Windows8/8.1 OS,Number of Windows 10 OS,Number of Other Windows OS,Number of Linux OS,Number of Mac OS X 10.4 or lower,Number of Mac OS X 10.5 or higher,Number of iOS,Number of Android,Number of Google Chrome,Devices with screen resolution less than 1024 x 768,Devices with screen resolution 1024 x 768 or higher,Devices with screen size less than 9.5 inch,Devices with screen size 10 inch or larger,Devices with RAM less than 1 GB,Devices with RAM 1 GB or higher,Number of multimedia projectors:,"Number of digital media receivers (e.g., Apple TV):",Number of flat panel displays used for displaying teacher lessons (32 inches or larger):,Number of document cameras:,"Number of whole classroom interactive devices (i.e., SMARTBoards, Promethean, Hitachi, etc.)","Number of mobile and wireless interactive slates or tablets (for example, Mobi, Airliners, iPad):","Number of student response systems (number of sets, not individual responder units):",Number of learning environments that provide a classroom amplification system,DistrictWANspeed,SchoolWirelessScope
2015,113,Aberdeen School District,A J West Elementary,408,0,24,24,1,0,0,0,1,1,0,0,0,1,4,175,1,1to1 laptops in 5th and 6th Grade classrooms,0,"93 iPod Touches used primarily in 4th, 5th and 6th Grades",160,83,0,113,0,0,151,0,,0,0,0,32,113,0,60,0,356,0,356,0,356,25,1,0,22,4,4,1,4,,
2015,113,Aberdeen School District,Central Park Elementary,173,0,13,13,1,0,0,0,1,1,0,0,0,1,0,92,1,1:1 Laptops in 5th and 6th Grade Classrooms,0,42 iPod Touches,110,69,35,103,0,18,157,0,,0,0,0,9,103,0,30,35,282,0,317,0,317,12,1,0,12,2,3,1,1,,
2015,113,Aberdeen School District,Grays Harbor Juvenile Detention,23,0,2,2,1,0,0,0,1,1,0,1,0,0,0,0,0,,0,,10,12,0,0,0,0,22,0,,0,0,0,0,0,0,0,0,22,0,22,0,22,2,2,2,2,0,2,0,0,,
2015,113,Aberdeen School District,Harbor High School,116,0,16,16,1,0,0,0,1,1,0,0,0,1,3,120,1,1:1 iPads for all students.,0,,30,62,0,120,0,0,69,0,,0,0,0,23,120,0,0,0,212,0,212,0,212,8,7,0,6,1,7,0,0,,
2015,113,Aberdeen School District,Hopkins Elementary,0,0,5,5,1,0,0,0,1,1,0,0,1,0,2,0,0,,0,,2,6,0,6,0,0,2,0,,0,0,0,6,6,0,0,0,14,0,14,0,14,2,1,0,3,0,0,0,0,,
2015,113,Aberdeen School District,J M Weatherwax High School,910,1,68,68,1,0,0,0,1,1,0,0,0,1,6,890,1,1:1 using Microsoft RT Tablets,1,30 iPod Touches,180,377,0,884,0,0,503,0,,870,0,0,54,14,0,0,0,1441,0,1441,0,1441,64,15,2,18,38,9,2,72,,
2015,113,Aberdeen School District,McDermoth Elementary,373,0,20,20,1,0,0,0,1,1,0,0,0,1,1,242,0,,0,110 (1to1 iPod Touches in 5th and 6th Grade classrooms),145,17,0,116,0,0,96,0,,0,0,0,36,116,0,30,0,278,0,278,0,278,21,1,0,20,2,1,2,0,,
2015,113,Aberdeen School District,Miller Junior High,442,1,33,33,1,0,0,0,1,1,0,0,0,1,12,480,1,Entire building 1to1 iPads for all students,0,5 iPod Touches,87,81,0,480,0,0,107,0,,0,0,0,61,480,0,0,0,648,0,648,0,648,29,12,2,22,7,9,1,1,,
2015,113,Aberdeen School District,Robert Gray Elementary,300,0,24,24,1,0,0,0,1,1,0,0,0,1,2,274,0,,0,126 iPod Touches (1to1 5th & 6th Grades) Plus shared classroom sets,93,34,0,232,0,0,62,0,,0,0,0,15,232,0,50,0,359,0,359,0,359,22,1,0,20,0,0,0,0,,
2015,113,Aberdeen School District,Stevens Elementary School,476,0,38,38,1,0,0,0,1,1,0,0,0,1,4,357,1,1 classroom 1:1 iPads 6th grade classroom,0,206 iPod Touches (1to1 in 5th and 6th grade classrooms),120,51,0,338,0,0,35,0,,0,0,0,76,338,0,60,0,509,0,509,0,509,28,4,2,25,10,2,2,2,,
2015,113,Adna School District,Adna Elementary School,242,1,16,16,1,0,0,0,1,1,0,0,0,1,0,0,0,,0,,0,45,0,22,0,0,45,0,,0,0,0,0,22,0,0,0,67,0,67,0,67,13,1,0,13,0,1,0,2,,
2015,113,Adna School District,Adna Middle/High School,366,0,22,22,1,0,0,0,1,1,0,0,0,1,0,0,0,,0,,0,145,56,2,0,0,111,60,,0,0,0,0,2,0,30,0,203,0,203,0,203,18,0,0,18,0,0,3,0,,
2015,101,Almira School District,Almira Elementary School,114,0,13,13,1,0,1,0,0,1,0,0,0,1,0,80,1,Sixth grade is using Tablets,0,,30,59,0,36,0,0,71,29,,0,0,0,0,7,0,18,0,125,7,118,7,118,12,5,0,11,4,3,0,0,,
2015,189,Anacortes School District,Anacortes High School,811,1,56,56,1,0,0,0,1,1,0,0,0,1,1,795,0,,0,,167,288,0,0,0,0,254,167,,0,0,0,34,0,0,0,0,455,0,455,0,455,41,10,0,35,13,10,0,5,,
2015,189,Anacortes School District,Anacortes Middle School,425,0,30,30,1,0,0,0,1,1,0,0,0,1,1,434,0,,0,,0,156,0,0,0,0,156,0,,0,0,0,0,0,0,0,0,156,0,156,0,156,20,0,0,20,3,4,0,20,,
2015,189,Anacortes School District,Cap Sante High School,54,0,2,2,1,0,0,1,0,1,0,0,0,1,0,57,0,,0,,0,24,0,0,0,0,24,0,,0,0,0,0,0,0,0,0,24,0,24,0,24,2,0,0,1,0,0,0,0,,
2015,189,Anacortes School District,Fidalgo Elementary,432,0,26,26,1,0,0,0,1,1,0,0,0,1,0,230,0,,0,,60,101,0,19,0,0,101,60,,0,0,0,0,19,0,0,0,180,0,180,19,161,21,0,0,20,4,0,0,16,,
2015,189,Anacortes School District,Island View Elementary,413,0,32,32,1,0,0,0,1,1,0,0,0,1,1,264,0,,0,,30,92,0,90,0,0,92,30,,0,0,0,0,90,0,0,0,212,0,212,90,122,22,0,4,22,2,0,0,3,,
2015,189,Anacortes School District,Mount Erie Elementary,488,0,25,25,1,0,0,0,1,1,0,0,0,1,0,314,0,,0,,0,91,0,20,0,0,91,0,,0,0,0,0,20,0,0,0,111,0,111,20,91,20,0,0,19,0,0,0,2,,
2015,189,Anacortes School District,Whitney Elementary Anacortes,98,0,11,11,1,0,0,0,1,1,0,0,0,1,0,0,0,,0,,0,20,0,20,0,0,20,0,,0,0,0,0,20,0,0,0,40,0,40,20,20,4,0,0,3,0,0,0,5,,
2015,189,Arlington School District,Arlington High School,1654,1,86,86,1,0,0,0,1,1,0,0,0,1,3,0,0,,0,,408,242,0,31,0,0,252,0,,0,0,0,80,0,31,318,0,681,31,650,0,681,69,1,0,69,8,0,0,2,,
2015,189,Arlington School District,Eagle Creek Elementary,552,1,28,28,1,0,0,0,1,1,0,0,0,1,1,0,0,,0,,60,60,0,170,0,0,30,0,,0,0,0,30,170,0,60,0,290,0,290,0,290,26,0,0,26,9,0,0,11,,
2015,189,Arlington School District,Haller Middle School,677,1,33,33,1,0,0,0,1,1,0,0,0,1,2,0,0,,0,,200,90,0,0,0,0,0,0,,0,0,0,110,0,0,180,0,290,0,290,0,290,29,0,0,29,2,0,0,2,,
